class_id,class_name,correct,total,accuracy
0,apple,93,100,0.930000
1,aquarium_fish,84,100,0.840000
2,baby,62,100,0.620000
3,bear,54,100,0.540000
4,beaver,63,100,0.630000
5,bed,78,100,0.780000
6,bee,79,100,0.790000
7,beetle,76,100,0.760000
8,bicycle,89,100,0.890000
9,bottle,81,100,0.810000
10,bowl,56,100,0.560000
11,boy,45,100,0.450000
12,bridge,85,100,0.850000
13,bus,64,100,0.640000
14,butterfly,67,100,0.670000
15,camel,75,100,0.750000
16,can,71,100,0.710000
17,castle,86,100,0.860000
18,caterpillar,67,100,0.670000
19,cattle,64,100,0.640000
20,chair,85,100,0.850000
21,chimpanzee,84,100,0.840000
22,clock,76,100,0.760000
23,cloud,83,100,0.830000
24,cockroach,85,100,0.850000
25,couch,62,100,0.620000
26,crab,70,100,0.700000
27,crocodile,56,100,0.560000
28,cup,79,100,0.790000
29,dinosaur,62,100,0.620000
30,dolphin,65,100,0.650000
31,elephant,68,100,0.680000
32,flatfish,64,100,0.640000
33,forest,68,100,0.680000
34,fox,76,100,0.760000
35,girl,49,100,0.490000
36,hamster,84,100,0.840000
37,house,78,100,0.780000
38,kangaroo,67,100,0.670000
39,keyboard,86,100,0.860000
40,lamp,67,100,0.670000
41,lawn_mower,89,100,0.890000
42,leopard,76,100,0.760000
43,lion,78,100,0.780000
44,lizard,46,100,0.460000
45,lobster,64,100,0.640000
46,man,58,100,0.580000
47,maple_tree,69,100,0.690000
48,motorcycle,95,100,0.950000
49,mountain,89,100,0.890000
50,mouse,58,100,0.580000
51,mushroom,71,100,0.710000
52,oak_tree,68,100,0.680000
53,orange,90,100,0.900000
54,orchid,83,100,0.830000
55,otter,35,100,0.350000
56,palm_tree,86,100,0.860000
57,pear,79,100,0.790000
58,pickup_truck,87,100,0.870000
59,pine_tree,65,100,0.650000
60,plain,88,100,0.880000
61,plate,69,100,0.690000
62,poppy,80,100,0.800000
63,porcupine,66,100,0.660000
64,possum,51,100,0.510000
65,rabbit,65,100,0.650000
66,raccoon,83,100,0.830000
67,ray,57,100,0.570000
68,road,95,100,0.950000
69,rocket,84,100,0.840000
70,rose,71,100,0.710000
71,sea,83,100,0.830000
72,seal,42,100,0.420000
73,shark,58,100,0.580000
74,shrew,54,100,0.540000
75,skunk,88,100,0.880000
76,skyscraper,89,100,0.890000
77,snail,72,100,0.720000
78,snake,67,100,0.670000
79,spider,77,100,0.770000
80,squirrel,57,100,0.570000
81,streetcar,76,100,0.760000
82,sunflower,90,100,0.900000
83,sweet_pepper,71,100,0.710000
84,table,66,100,0.660000
85,tank,88,100,0.880000
86,telephone,68,100,0.680000
87,television,80,100,0.800000
88,tiger,79,100,0.790000
89,tractor,83,100,0.830000
90,train,81,100,0.810000
91,trout,83,100,0.830000
92,tulip,64,100,0.640000
93,turtle,50,100,0.500000
94,wardrobe,94,100,0.940000
95,whale,68,100,0.680000
96,willow_tree,61,100,0.610000
97,wolf,78,100,0.780000
98,woman,55,100,0.550000
99,worm,73,100,0.730000
