class_id,class_name,correct,total,accuracy
0,apple,92,100,0.920000
1,aquarium_fish,90,100,0.900000
2,baby,68,100,0.680000
3,bear,58,100,0.580000
4,beaver,68,100,0.680000
5,bed,83,100,0.830000
6,bee,87,100,0.870000
7,beetle,80,100,0.800000
8,bicycle,91,100,0.910000
9,bottle,88,100,0.880000
10,bowl,53,100,0.530000
11,boy,52,100,0.520000
12,bridge,85,100,0.850000
13,bus,74,100,0.740000
14,butterfly,78,100,0.780000
15,camel,82,100,0.820000
16,can,77,100,0.770000
17,castle,88,100,0.880000
18,caterpillar,68,100,0.680000
19,cattle,74,100,0.740000
20,chair,92,100,0.920000
21,chimpanzee,93,100,0.930000
22,clock,81,100,0.810000
23,cloud,87,100,0.870000
24,cockroach,85,100,0.850000
25,couch,66,100,0.660000
26,crab,79,100,0.790000
27,crocodile,72,100,0.720000
28,cup,84,100,0.840000
29,dinosaur,78,100,0.780000
30,dolphin,74,100,0.740000
31,elephant,79,100,0.790000
32,flatfish,78,100,0.780000
33,forest,69,100,0.690000
34,fox,87,100,0.870000
35,girl,59,100,0.590000
36,hamster,86,100,0.860000
37,house,81,100,0.810000
38,kangaroo,74,100,0.740000
39,keyboard,91,100,0.910000
40,lamp,72,100,0.720000
41,lawn_mower,89,100,0.890000
42,leopard,82,100,0.820000
43,lion,83,100,0.830000
44,lizard,58,100,0.580000
45,lobster,69,100,0.690000
46,man,64,100,0.640000
47,maple_tree,72,100,0.720000
48,motorcycle,96,100,0.960000
49,mountain,92,100,0.920000
50,mouse,71,100,0.710000
51,mushroom,78,100,0.780000
52,oak_tree,72,100,0.720000
53,orange,94,100,0.940000
54,orchid,90,100,0.900000
55,otter,58,100,0.580000
56,palm_tree,92,100,0.920000
57,pear,82,100,0.820000
58,pickup_truck,93,100,0.930000
59,pine_tree,69,100,0.690000
60,plain,90,100,0.900000
61,plate,70,100,0.700000
62,poppy,82,100,0.820000
63,porcupine,76,100,0.760000
64,possum,65,100,0.650000
65,rabbit,71,100,0.710000
66,raccoon,87,100,0.870000
67,ray,66,100,0.660000
68,road,95,100,0.950000
69,rocket,86,100,0.860000
70,rose,80,100,0.800000
71,sea,86,100,0.860000
72,seal,54,100,0.540000
73,shark,57,100,0.570000
74,shrew,66,100,0.660000
75,skunk,94,100,0.940000
76,skyscraper,93,100,0.930000
77,snail,75,100,0.750000
78,snake,73,100,0.730000
79,spider,84,100,0.840000
80,squirrel,66,100,0.660000
81,streetcar,82,100,0.820000
82,sunflower,94,100,0.940000
83,sweet_pepper,80,100,0.800000
84,table,71,100,0.710000
85,tank,90,100,0.900000
86,telephone,76,100,0.760000
87,television,87,100,0.870000
88,tiger,84,100,0.840000
89,tractor,92,100,0.920000
90,train,86,100,0.860000
91,trout,86,100,0.860000
92,tulip,71,100,0.710000
93,turtle,75,100,0.750000
94,wardrobe,97,100,0.970000
95,whale,74,100,0.740000
96,willow_tree,69,100,0.690000
97,wolf,82,100,0.820000
98,woman,61,100,0.610000
99,worm,73,100,0.730000
